"Link","Job Title","Company","Date Posted","Location","Job Description","Salary","Search Query"
"https://my.jobstreet.com/job/79564870?type=standard&ref=search-standalone#sol=8c70e894a754e71bf773381e81bd85e385eae615","Lead, Employer Branding & Education","FGV Holdings Berhad","0","Kuala Lumpur","Position level:Senior ManagerResponsibilitiesDesign and execute comprehensive employer branding and education strategies across the group that align with FGV's core values, mission, and business objectives.Lead the development and implementation of employer branding and education campaigns and initiatives across all channels and touchpoints.Design strategic internal and external employer branding communications by working closely with other HR functions and the Strategic Communications team to ensure cohesive and consistent brand messages across all platforms.Lead strategic partnerships with higher education institutions, agencies or NGOs for employer branding and education.Review relevant HR and employer branding awards and ensure company participation to gain recognition.Lead and conduct analysis on the effectiveness of completed employer branding and education initiatives, providing actionable insights to optimize performance.Stay ahead of industry trends, analyse competitor activities, and understand candidate preferences to keep the employer branding strategy current and compelling.Partner with the Human Capital Development team for long-term succession requirements.Develop, review, and update related policies and ensure compliance through audits and adherence to guidelines.RequirementsBachelor’s or Degree in Business Administration, Human Resources or other related disciplines.Minimum 10 years working experiencein Employer Branding/ Branding.Background in Talent Acquisition, Employer Branding and Branding (Marketing) is an added advantage.Excellent communication and stakeholder management skills.","Unknown","Lead Developer"
"https://my.jobstreet.com/job/79564629?type=standout&ref=search-standalone#sol=ccdc728c5a429226f94fdb21bed69c2c2edf3309","Payroll Consultant (SG)","Links international","0","Kuala Lumpur","Links International is an award-winning industry leader in innovative human resources outsourcing in Asia. Links International was established in 1999. Rated as a 'Star Performer' by Everest Group and voted Asia's Best HR Outsourcing Partner for consecutive years, Links is recognised as Asia's leading HR service provider delivering 100% in-country services in Hong Kong, Singapore, Macau, Mainland China, Japan, South Korea, Philippines, Indonesia, Malaysia, Thailand, Taiwan, Vietnam, India, Cambodia, Dubai, Myanmar, Australia, and New Zealand.We offer a broad range of services, ranging from both retained and contingent recruitment, to payroll and visa processing, which are designed to cover all aspects of your human resources processes, enabling your team to focus on higher value, strategic activities. Links International specialisms in helping organisations across the Asia-Pacific region identify and tackle complex human resources challenges.To succeed in today's dynamic business climate, it is imperative to engage in innovative, reliable HR solutions. That is why, at Links International, we pride ourselves on delivering quality results by tailoring our solutions to suit our clients' exact business needs, whilst at the same time adapting our offering to keep up with advances in HR technology. We have a strong understanding of the trends associated with HR and aim to bridge the gap between HR and technology.Due to rapid growth and subsequent expansion, we are now looking for high calibrePayroll & HR Consultantsto help drive Links International to become the HR Outsourcing Partner of choice in Asia Pacific.HighlightsMNC culture, 5-day work week, flexible hours, hybrid work from homeCompetitive remuneration package, health benefits and other benefitsCareer development opportunity, training subsidy, regional exposureKey Responsibilities:Provide our award-winning payroll service to clients and maintain client relationship on regular basisPerform end-to-end payroll processing and provide related HR services to clientsResponsible for clients' payroll calculation (e.g., salaries, pension, leave, commission, and other compensation calculations)Liaise with local authorities and service providers in relation to pension, social insurance, tax and other statutory mattersPrepare HR reports for clients such as movement, headcount, pay summary, cost centre allocation and payroll breakdown reportsMaintain up-to-date and accurate payroll data and staff information in the Payroll SystemParticipate clients meeting and provide professional advices on HR issues relate to labour laws and employment actProvide operational and administrative support to regional payroll teamsRequirements:Solid experience in Singapore end-to-end payroll processingExperience working in payroll outsourcing companies or shared services will be advantageousAble to manage high volume payroll processing in a fast paced environmentMust be good in Microsoft Excel, HRIS and sensitive to numbersAction-orientated, detail minded and organisedFluent in spoken English. Foreign language will be advantageous","Unknown","Lead Developer"
"https://my.jobstreet.com/job/79564391?type=standard&ref=search-standalone#sol=1ce17ebd8c6fcaa6fa07be02fa7af9c6bea869c1","Business Development Manager","Now Comms Asia Sdn Bhd","0","Kuala Lumpur","About Us:At Now Comms Asia, we believe that effective marketing starts with a deep understanding of what truly motivates people. Our philosophy,Motivation over Medium, emphasizes the importance of tapping into the core drivers of our audience's behaviours and decisions. This focus helps us navigate the complexities of the an ever-evolving media landscape with precision, delivering results that are not only measurable but meaningful. With ourkinda differentethos, we challenge the conventional, providing innovative solutions that resonate with audiences and elevate brands. We don't just reach audiences — we move them!More about us: https://nowcomms.asia/LinkedIn: https://sg.linkedin.com/company/nowcommsasiaPosition Overview:We are seeking a motivated and results-oriented Business Development Manager to drive growth and expand our client base. This role is pivotal in identifying new business opportunities, fostering client relationships, and promoting our agency’s services.Key Responsibilities:1. Lead Generation- Identify and pursue new business opportunities through networking, referrals, and research- Develop and maintain a pipeline of potential clients2. Client Relationship Management- Build and nurture relationships with existing and prospective clients- Understand client needs and tailor agency offerings to meet those needs3. Strategic Planning- Collaborate with the leadership team to develop and implement business development strategies- Conduct market research to identify trends and opportunities4. Sales Presentations- Prepare and deliver compelling sales presentations and proposals- Negotiate contracts and close deals5. Collaboration- Work closely with marketing and creative teams to align strategies and support client projects- Provide feedback on market trends and client needs to inform service development6. Reporting- Track and report on business development activities and sales metrics- Provide insights and recommendations for continuous improvementQualifications:- Proven experience in business development or sales, preferably in an agency setting- Strong communication and interpersonal skills- Ability to work independently and as part of a team- Creative problem-solving skills and a proactive approachWhat We Offer:- A collaborative and dynamic work environment- Opportunities for professional growth and developmentHow To Apply:Please include your resume and cover letter outlining your relevant experience.","RM 6,000 – RM 8,000 per month","Lead Developer"
"https://my.jobstreet.com/job/79564309?type=standout&ref=search-standalone#sol=250e30d2d805578ec5c9fc304c81f34135bc40dc","Lead Engineer (Apps Design) - Mobile Apps Platform - Hybrid Working","SEEK","0","Kuala Lumpur City Centre","Company DescriptionAbout SEEKAt SEEK, we serve a noble purpose: to help people live more productive and fulfilling working lives and to help organisations succeed.By joining us, you’ll be part of a multinational technology business that is far-reaching with a start-up working culture that focuses on a set of collaborative values and appreciates dynamic cultures. SEEK is a place where potential meets possibility – it’s where your career aspiration and our purpose can make great things happen.Why join us?We’re looking for people who thrive in dynamic teams, appreciate progressive industries, and enjoy tackling regular new challenges in a large-scale, modern, and agile environment. As one of Asia Pacific’s largest tech companies, you’ll contribute to multilingual systems, solving high-impact problems to the benefit of millions of people within the region. Expect a great investment in your career development with access to workshops, conferences & courses while you work alongside seasoned experts. Be part of a fast-growing company with a strong culture and clear purpose, innovation and strong investment in responsible AI. SEEK offers you the opportunity to be involved in impactful work and be part of a great team.Job DescriptionThe TeamOurMobile Apps Platformteam is responsible for the core architecture, infrastructure, operational practices, and design governance that enable our Candidate Domain teams to deliver high quality experiences for our SEEK, Jobsdb, and Jobstreet mobile apps. Our ambition is to deliver world class apps that delight our candidates and hirers by leading teams to build consistent, beautiful, reliable, and secure apps at scale.We work on a mixture of operational, tactical, and central initiatives that help maintain our platform health, improve the engineering experience, enable efficient delivery of value at scale, elevate the quality of our user experience, and grow our mobile apps capability at SEEK.We are a multi-functional distributed agile team of Android/iOS engineers, product, design, and delivery specialists located across Australia, Hong Kong, and Malaysia. We are driven by a strong sense of passion for our customers (internal teams and candidates/hirers), high quality engineering, and the continuous improvement of our platform to enable teams at SEEK to drive rapid value to our candidates/hirers.We apply a combination of agile, extreme programming, and mobile best practices, supporting the software we release end to end, welcome diverse thinking, and are looking for ways to continuously improve the way we work.About the roleWe are looking for versatile engineers who are passionate about their craft, have a solid technical understanding of the Mobile Apps ecosystem, a strong customer focus, a deep care for people and a delivery mentality.As the Lead Android Engineer you will lead the sustainable delivery of services/products for our Android Platform. You will ensure our solutions are technically fit for purpose, the team is healthy, and the engineers within it are even healthier.You will work alongside other technical leaders to architect solutions, evolve delivery/technical practices of the team, lead the team to write high quality maintainable software, grow the capabilities of other engineers, and support their career development with effective line management.As part of your remit, you’ll play a key role in driving our platform’s roadmap, partnering with product and other mobile technical leaders to deliver to our mobile ambition and SEEK’s overall technical strategy.ResponsibilitiesBuildGuide other engineers to build, test, deploy and maintain software from development through to productionStrengthen current Software Engineering practices and improve existing DevOps culturePartner Staff Engineer in ensuring the platform health of our systems are, reliable, secure, resilient, and efficientBuild and operate highly scalable and performant software in alignment with existing frameworks and SEEK’s technology strategyTroubleshoot and manage production incidents through to resolution includingproactively managing on-call process, incident reviews and supporting documentationExecuteStrengthen engineering discipline and team capabilityEnsure adherence to Agile delivery rituals and practices (if required) and continuous improvementActively connect with others in an effective, timely manner with empathy including key partners in other areasConsistently write clean, well-tested, readable software, using secure coding practices, current patterns and toolingManage skill development of secure system design and coding practices.Ensures team alignment to SEEKs security principles.In depth understanding of your customers and consider their needs at the core of all developmentSupportGrow team member capabilities with effective line management & coachingLead the wellbeing of the team by fostering safety, inclusivity, diversity andengagement/cultureImproves teams’ abilities through coaching and sets example behaviourStrengthenLead the recruitment and onboarding of new hiresKey contributor to communities of practice at SEEKActively seek out learning opportunities for self and others through inviting and providing regular feedbackQualificationsEssential Skills and ExperienceWorking in a multi-functional software engineering team with some experience insupervising/coaching/mentoring EngineersExperience applying and improving continuous integration and continuous deployment (CI/CD) practicesSupport a culture that that promotes continuous improvement in a team environment.Writing well-tested, readable software, using secure coding practices, current patterns, and toolingExperience with the design, development, support, and maintenance of cloud first applications and APIsExperience using logging and monitoring/alerting tools that will support operational healthDrive software development practices such as: Test Driven Development, Behavioural Driven Development, Clean CodeManaging operational support duties, including on-call support and after hours work as requiredAbility to collaborate with various partners, focusing on outcomes which best serve the overall APAC strategyAbility to operate in team with geographically distributed team membersProactively sharing knowledge and skills to help other team members grow through coaching and mentoringAct as a SEEK engineering ambassador and help attract technical talentDriving collaboration and teamwork across teamsProactively contributing to internal or external professional communities of practice events and finding opportunities for team members to do so.Additional InformationPerks and benefitsAt SEEK we offer:Support of flexible working, including a mix of office and work from home days depending on your role.The opportunity to work from anywhere for up to 4 weeks per financial yearCasual dress – every dayAt SEEK, we are passionate about fostering a culture of inclusion and wellbeing that embraces and values the diversity of our people. We are a purpose driven business that works with heart.We know teams with diverse ideas, experiences and perspectives are more creative and are critical to ensuring effective delivery and innovating to enable our future success. As such, we welcome applications from people with diverse backgrounds and life experiences, especially as they relate to gender, sexual identity, culture, faith, disability and life stages. If you have the skills, curiosity and an adaptable mindset but don't meet every responsibility or qualification listed in this advertisement, please still get in touch with us.Should you require any specific support or adjustments throughout the recruitment process and beyond, please advise us and we will be happy to assist.For this role, only those with eligible right to work will be considered.SEEK kindly requests no unsolicited resumes or approaches from recruitment agencies and will not be responsible for any associated fees.","Unknown","Lead Developer"
"https://my.jobstreet.com/job/79564304?type=standout&ref=search-standalone#sol=10458e25be446aed86e9431d016effc1b48ff571","Staff Engineer - Developer Experience (Hybrid Working)","SEEK","0","Kuala Lumpur","Company DescriptionAbout SEEKAt SEEK, we serve a noble purpose: to help people live more productive and fulfilling working lives and to help organisations succeed.By joining us, you’ll be part of a multinational technology business that is far-reaching with a start-up working culture that focuses on a set of collaborative values and appreciates dynamic cultures. SEEK is a place where potential meets possibility – it’s where your career aspiration and our purpose can make great things happen.Why join us?Be part of a multinational tech company with strong core values to help us solve complex challenges while building a flexible, exciting career – one that could take you anywhere. We’re looking for people who thrive in dynamic teams and enjoy tackling regular new challenges in a large-scale, modern, and agile environment.As one of Asia Pacific’s largest tech companies, you’ll contribute to multilingual systems, solving high-impact problems to the benefit of millions of people within the region. Be part of a fast-growing company with a strong culture and clear purpose, innovation and strong investment in responsible AI. SEEK offers you the opportunity to be involved in impactful work and be part of a great team.Expect a great investment in your career development with access to workshops, conferences & courses while you work alongside seasoned experts.Job DescriptionThe TeamThe Developer Experience team at SEEK is dedicated to revolutionising the software engineering journey. Operating within SEEK's Engineering Platforms, our team is a cross-functional, multi-disciplinary team that work within APAC matrix organisational structure.The team is responsible for developer experience part of Automat, SEEK’s internal developer platform, based on Cloud Native ecosystem on Kubernetes. The team is also responsible other developer systems such as Backstage and other internal tools for managing containerised workloadsAbout the roleJoin our dynamic team at SEEK Group as a Staff Engineer and be a key player in shaping the future of our engineering initiatives. In this role, you'll have the opportunity to make a significant impact by developing cutting-edge software solutions within our product delivery, systems, and platform teams. Your expertise will be instrumental in enhancing engineering quality, mentoring fellow Software Engineers, and delivering user-centric, reliable, and scalable solutions.Reporting to the Engineering Manager, you’ll have the autonomy to lead the development of Automat, SEEK’s innovative internal developer platform, on Kubernetes. In addition to guiding your own team, you will collaborate with other technical leaders and teams within the Engineering Platform domain to shape the technical roadmap for Automat, specifically focusing on developer experience concerns. You will also play a vital role as a developer advocate within SEEK’s engineering community to help adoption of project Automat.If you're passionate about driving innovation and thrive in a collaborative environment, we invite you to join us in revolutionizing the way we build and deliver software at SEEK Group. Apply now to embark on an exciting journey of growth and impact!This role for Staff Software Engineer could include the following:Build and operate highly scalable and performant software in alignment with SEEK’s technology strategy.Improve platform health, ensuring that our systems are, reliable, resilient, and efficient according to SEEK development practices.Coach and mentor Software Engineers. Lead, coach, and mentor Software Engineers to foster a culture of technical excellence.Ensure platform health for services owned are aligned to SEEK’s technical metrics goals.Improve Agile delivery practices through collaboration with the Engineering Manager and Business Analyst.Act as a developer advocate, building relationships with other engineering teams to ensure the right problems are addressed.You will work with various roles, including Software Engineers at multiple levels such as Staff Engineer, Engineering Manager, Business Analyst / Iteration Manager, and Platform EngineersQualificationsQualificationsHas created and maintained software in two or more modern software development languages.Deep understanding of Kubernetes as an Application Developer. More experience in the Cloud Native space is desired (e.g.: service mesh architecture on Istio, GitOps practice via ArgoCD).Experience with the design, development, support, and maintenance of cloud first applications, preferablyAWS.Strong experience withDesign Patterns.Experience with software observabilities (logging, tracing, monitoring/alerting).Experience applying and improving continuous integration and continuousdeployment (CI/CD) practices.Exceptional problem-solving skills and the ability to influence and lead technical decisions within the team and across the organisation.Strong communication and collaboration skills, with the ability to work effectively in an engineering platform space.Additional InformationPerks and benefitsAt SEEK we offer:Support of flexible working, including a mix of office and work from home days depending on your role.The opportunity to work from anywhere for up to 4 weeks per financial yearCasual dress – every dayAt SEEK, we are passionate about fostering a culture of inclusion and wellbeing that embraces and values the diversity of our people. We are a purpose driven business that works with heart.We know teams with diverse ideas, experiences and perspectives are more creative and are critical to ensuring effective delivery and innovating to enable our future success. As such, we welcome applications from people with diverse backgrounds and life experiences, especially as they relate to gender, sexual identity, culture, faith, disability and life stages. If you have the skills, curiosity and an adaptable mindset but don't meet every responsibility or qualification listed in this advertisement, please still get in touch with us.Should you require any specific support or adjustments throughout the recruitment process and beyond, please advise us and we will be happy to assist.For this role, only those with eligible right to work will be considered.SEEK kindly requests no unsolicited resumes or approaches from recruitment agencies and will not be responsible for any associated fees","Unknown","Lead Developer"
"https://my.jobstreet.com/job/79564303?type=standout&ref=search-standalone#sol=773e773ae118361b1d2a87dd7e939db3f4581ecc","Staff Engineer (Hybrid Working)","SEEK","0","Kuala Lumpur City Centre","Company DescriptionAbout SEEKSEEK’s portfolio of diverse businesses, which includes Jobstreet and JobsDB in Asia, make a positive impact on a truly global scale. Our purpose is to help people live more fulfilling and productive working lives and help organisations succeed. We create world-class technology solutions to connect more people to relevant employment, education, small business and volunteer opportunities. We have a culture of high-performance in our workplaces and celebrate the diversity of our employees who contribute to the success of our organisation.​​Life at SEEKSEEK’s purpose is at the centre of everything we do. Our SEEK, which defines the way we work, is all about what makes us unique and a little bit different. Passion, Team, Delivery and Future are our principles that drive innovation and creativity. SEEK strives to support employee wellbeing by providing an amazing experience at work which led us to being named AFR BOSS Top 10 Best Place to Work 2023 In Tech (third year in a row). In Malaysia, where SEEK’s Asia HQ is located, we received four accolades at the TalentCorp Life at Work Awards 2023, including first runner-up for Best International Organisation and champion for Best CHRO. We are proud to work in an environment that's inclusive where everyone's unique ideas, experiences and perspectives are valued.Job DescriptionWho We're Looking ForAre you a seasoned technical expert with a passion for innovation? We're looking for a dedicated Staff Engineer to join our dynamic full-stack team in Kuala Lumpur. In this role, you’ll be the go-to technical leader, driving the design and execution of our software solutions and providing crucial support to our Engineering Manager. While our team covers the full stack, we’re particularly interested in candidates with strong back-end expertise.What You'll DoLead with Expertise:Steer the team in adopting ground breaking practices, align roadmaps with our goals, and tackle sophisticated technical challenges.Design and Implement:Architect and develop high-quality software solutions that ensure the adaptability and scalability of our platforms.Collaborate Effectively:Partner with collaborators across Architecture, Security, and other technical teams to ensure cohesive and effective solutions.Mentor and Guide:Mentor and support team members, nurturing their growth and encouraging a culture of technical excellence.Stay Hands-On:Engage directly with development tasks while leading technical initiatives and setting high standards.QualificationsWhat We're Looking For:Deep Technical Expertise:Extensive knowledge in software design, architecture, and development. Experience with modern technologies and practices.Problem-Solving Skills:Strong background of solving sophisticated technical problems and delivering effective solutions within budget and time constraints.Communication Proficiency:Ability to clearly convey technical concepts to both technical and non-technical collaborators.System Design Savvy:Expertise in crafting scalable, secure, and maintainable systems.Adaptability:Comfortable navigating ambiguity and providing clear direction in a dynamic environment.Best Practices Advocate:Proficient in implementing and maintaining high standards of code quality and system design.Tech Stack Familiarity:Experience with AWS, TypeScript, Node.js, and React is desirable. You don’t need to be an expert in all of these technologies; we value transferrable skills and a willingness to learn.Additional InformationThe TeamThe Engineering team is the largest team in Jora with more than 30 engineers. The team is split across the four main domains of aggregation, candidate, employer and native apps. Operating in a true start up environment and culture, we love to take a data driven and analytical approach to developing, prioritising and monitoring production features that drive outcomes for our customers.Full-Stack EnvironmentWhile our team covers both front-end and back-end development, we’re particularly interested in candidates with strong back-end expertise. Experience in front-end development is a plus but not required.Why You’ll Love Working HereInnovative Atmosphere:Be at the forefront of technology in a company that embraces creativity and forward-thinking.Collaborative Culture:Join a team that values respect, teamwork, and continuous improvement.Career Growth:Tackle challenging projects and advance your career in a supportive and dynamic environment.Meaningful Impact:Work on initiatives that make a real difference to our customers and the community.Ready to make an impact?Apply today and join us in to help people live more fulfilling and productive working lives and help organisations succeed.Split between offices in Melbourne, Sydney and KL, the team values and embraces working across multiple locations and flexible working arrangements and boasts a large diversity in team members from different cultures and nationalities.At SEEK, we are passionate about fostering a culture of inclusion and wellbeing that embraces and values the diversity of our people. We are a purpose driven business that works with heart.We know teams with diverse ideas, experiences and perspectives are more creative and are critical to ensuring effective delivery and innovating to enable our future success. As such, we welcome applications from people with diverse backgrounds and life experiences, especially as they relate to gender, sexual identity, culture, faith, disability and life stages. If you have the skills, curiosity and an adaptable mindset but don't meet every responsibility or qualification listed in this advertisement, please still get in touch with us.Should you require any specific support or adjustments throughout the recruitment process and beyond, please advise us and we will be happy to assist.SEEK kindly requests no unsolicited resumes or approaches from recruitment agencies and will not be responsible for any associated fees.","Unknown","Lead Developer"
"https://my.jobstreet.com/job/79564015?type=standout&ref=search-standalone#sol=9458570c2437ec6a7575261243d49ee32f79195c","Senior Massage Therapist","Dahae Sdn. Bhd.","0","Bukit Jalil","Job Description:We are seeking a skilled Senior Massage Therapist to join Beyond Massage, a premium spa focused on personalized treatments. In this role, you will deliver tailored massages while also training and mentoring junior therapists. Key responsibilities include providing customized sessions, leading client consultations, maintaining spa standards, and ongoing staff training. Candidates must have 5 years of experience and a passion for holistic wellness.About Beyond Massage:Beyond Massage is not just a typical spa—we are dedicated to offering a premium, personalized massage experience that blends traditional techniques with modern approaches. Our services focus on physical relaxation, pain relief, mental well-being, and recovery. Signature offerings include full-body massage, foot and upper body treatments, and head spa sessions, helping clients escape, recover, and rejuvenate.Role Overview:As a Senior Massage Therapist, you will be a key leader in our team, responsible for delivering exceptional treatments and guiding our team of therapists. You will not only provide bespoke services tailored to each client’s needs but also train and mentor other massage therapists, ensuring that our high standards are consistently met.Key Responsibilities:Personalized Treatments:Provide customized massage therapy sessions, combining techniques from various modalities, including full-body massage, foot and upper body treatments, and head spa therapies.Client Consultation:Conduct thorough consultations with clients to understand their specific needs, whether for relaxation, recovery, or therapeutic pain relief.Training & Mentorship:Train and mentor junior massage therapists, sharing your expertise in techniques such as Swedish, deep tissue, and specialized head treatments.Customer Care:Build strong client relationships, ensuring that every guest feels valued and cared for throughout their experience.Spa Standards:Maintain a clean, welcoming, and relaxing environment, adhering to hygiene and safety standards.Collaboration:Work closely with management to foster a supportive and positive workplace culture.Ongoing Education:Participate in workshops and training sessions to stay updated on the latest massage techniques and trends, and share this knowledge with the team.Qualifications:Certified Massage Therapist with proficiency in a variety of massage techniques.Minimum of 5 years of experience in the spa or wellness industry, with a leadership or training background.Expertise in head spa treatments, foot massage, or body therapies is a plus.Excellent communication skills for client consultation and therapist training.Passion for health, wellness, and holistic client care.Ability to work in a team-oriented environment and foster a collaborative culture.Commitment to continuous learning and professional growth.Why Join Beyond Massage?Lead a team in a spa that emphasizes personalized care and advanced techniques.Competitive salary with performance-based incentives.Strong focus on professional development and regular training opportunities.Supportive, professional environment that values your skills and contributions.","RM 5,000 – RM 7,000 per month","Lead Developer"
"https://my.jobstreet.com/job/79563610?type=standout&ref=search-standalone#sol=e18778c0648cfff6f6cd885b72785741b9288862","HRBP Expert","TDCX Malaysia","0","Kuala Lumpur","Job description:#BeMoreDo you aspire for a rewarding career that lets you do more and achieve more? Unleash your full potential at work with TDCX, an award-winning and fast-growing BPO company.Work with the world's most loved brands and be with awesome, diverse people. Be home, belong, and start your journey to #BeMore!Top Reasons to work with TDCXAttractive remuneration, great perks, and performance incentivesComprehensive medical, insurance, or social security coverageWorld-class workspacesEngaging activities and recognition programsStrong learning and development plans for your career growthPositive culture for you to #BeMore at workEasy to locate area with direct access to public transportFlexible working arrangementsBe coached and mentored by experts in your fieldJoin a global company, winner of hundreds of industry awardsWhat is your mission?Act as a single point of the contact for the employees and managers in the business unitManage complex and difficult HR Projects cross-functionally.Actively identifies gaps, proposes and implement changes necessary to cover risksBuild a strong business relationship with the internal client and facilitates the management team to bring best solutions for employees.Act as the performance improvement driver and provokes positive changes in the people management.Design and maintain organization vitality charts as the performance of the business unit improves.Ensure compliance to company's policies and procedures as well as local labour law.Involves helping the organization's members understand what the change means to them and providing the ongoing guidance and support that will maintain enthusiasm and commitment to the change process.Any other duties and responsibilities that may be assigned to you by the management from time to time, within your category of employment in the organization and for the effective implementation, maintenance and continual improvement of the Quality Management System of TDCX.Who are we looking for?Candidate must possess at least a Diploma, Advanced/Higher/Graduate Diploma, Bachelor's Degree, Post Graduate Diploma, Professional Degree, Master's Degree in Human Resource Management/ Business Studies/Administration/Management/ PsychologyPreferable with 2 years of working experience in the related field is ideal for this position.Efficient when working in teams.Has excellent communication, interpersonal, and negotiation skills.Possesses strong skills in project management and change management.Has excellent working knowledge of employment law with the ability to apply it practically to workplace situations.Excellent verbal and written communication skills in English and the language of the supporting marketWho is TDCX?TDCX provides transformative digital CX solutions, enabling world-leading and disruptive brands to acquire new customers, build customer loyalty, and protect their online communities.TDCX helps clients, including many of the world's best brands, achieve their customer experience aspirations by harnessing technology, human intelligence, and our global footprint. We serve clients in fintech, gaming, technology, home sharing and travel, digital advertising and social media, streaming, and e-commerce. Our expertise and strong footprint in Asia have made us a trusted partner for clients, particularly high-growth, new economy companies looking to tap the region's growth potential.We pride ourselves on discovering and employing the best professionals to join us as we transform the outsourced CX industry. Our commitment to #BeMore for our people, our clients, and our community has led to us winning several hundreds of industry awards, including being one of the best companies to work for in Asia.From our first-rate workspaces, above-industry-average compensation packages, career opportunities, to our workplace perks, find out what else is in store when you embark on a career with TDCX.","Unknown","Lead Developer"
"https://my.jobstreet.com/job/79567165?type=standard&ref=search-standalone#sol=051d8dfecc86137a014633c984d24190332646c4","Sales Executive","GETS DISTRIBUTION SDN BHD","0","Kuala Lumpur","Responsibilities and Authorities- Lead a Sales Team to achieve sales targets;- Establish an effective distribution;- Prepare and submit sales and marketing plans;- Research and prepare for documents – commercial/technical including sales proposal to customer;- Development of sales strategies and tactical sales plan including monitoring sales targets;- Develop and execute marketing plan to promote and establish company profile;- Coaching and motivating sales staff;- Coordinate daily field and inside sales activities;- Serve customer/s with passion and given the best service to customer/s;- Any other duties assigned by the Top Management.Competency Requirements- Minimum Diploma in business related discipline- Minimum 1 years work experience in Sales and MarketingSupplemental pay type:- CommissionSummary of role requirements:Looking for candidates available to work:Monday: Morning, Afternoon, EveningWednesday: Morning, Afternoon, EveningThursday: Morning, Afternoon, EveningFriday: Morning, Afternoon, EveningSaturday: Morning, Afternoon, EveningSunday: Morning, Afternoon, Evening1 year of relevant work experience required for this roleWorking rights required for this roleExpected start date for role: 01 November 2024Expected salary: RM2,000 - RM4,000 per month","Unknown","Lead Developer"
"https://my.jobstreet.com/job/79562610?type=standard&ref=search-standalone#sol=64bd2ceaf928dcf401f5e7b03c6679ec2fdd8b4c","Draughtsperson - Architecture","KSKA ARKITEK SDN BHD","0","Kuala Lumpur City Centre","1Degree / Diploma in Architecture.22 – 5 year(s) of working experience3Able to work independently in a collaborative environment.4Willingness to accept vertical skill development (training to handle increased responsibilities).6Willingness to learn & work as team player.7Able to work independently within schedule without much supervision8Knowledge of Autocad. Advanced knowledge in Architectural working drawings and detailing. Experience in Revit Program would be an advantage;9For Senior : Candidate is responsible to lead the technical team to develop the design drawings into full working drawings for projects;10For Senior : Candidate must be proficient in technical and local authority codes knowledge, to ensure that the design is in compliance with the regulations and by-laws11Candidate must pose leadership quality to lead the technical team.","RM 2,500 – RM 3,750 per month","Lead Developer"
