"Link","Job Title","Company","Date Posted","Location","Job Description","Salary","Search Query"
"https://my.jobstreet.com/job/79574211?type=standard&ref=search-standalone#sol=374b8e31bbd73c64a923a638d65c72985c21b525","Live Host","TRAPO MALAYSIA SDN. BHD.","0","Bangsar South","About Us:At TRAPO, we are the trailblazers in the automotive accessories industry across Malaysia, Singapore, Thailand, and Indonesia. Since our inception in 2016, we’ve been dedicated to transforming industrial waste into premium automotive products that enhance the driving experience. Our innovative solutions, including antibacterial features, address the everyday challenges faced by drivers. We are on the lookout for a dynamic and motivated Live Host to elevate our sales efforts to unprecedented heights.About the Role:We are excited to invite a dynamic and engaging Live Host to join our vibrant team. The ideal candidate will excel in hosting live streaming sessions, showcasing products, and interacting with viewers in real time. This role demands excellent communication skills, a charismatic on-screen presence, and the ability to create an entertaining and informative live experience.Job Responsibilities:Host TikTok Live & Shopee Livein an engaging and captivating manner.Showcase and demonstrate products or serviceseffectively during live streams by highlighting unique selling points and benefits during live streams.Interact with viewers in real time, responding to comments and questions to maintain high engagement levels.Monitor viewer feedback and analyticsto improve content quality and future sessions.Stay up-to-datewith the latest trends and updates related to streaming platforms and technologies.Adhere to platform-specific rules and regulationsto maintain a positive streaming environment.Handle unexpected issuesduring live sessions by ensuring all technical aspects of the live stream, including camera, lighting, and sound, are functioning correctly.Collaborate with the marketing and multimedia teamsto develop, execute and refine live-streaming strategies.Execute ad hoc tasksas requested by superiors efficiently.Job Requirements:Must be flexible to work based on the schedule at TRAPO Melaka Raya Hub.Strong on-screen presence, confident and comfortable showing your face on camera and presenting to Singaporean audience.Familiarity with the marketplace, social media platforms and live streaming tools.Basic technical skills related to live streaming equipment and software.Capability to perform duties with minimal supervision, ensuring high-quality outcomes.Qualifications:Fluent in English with strong communication skills.Previous experience in live streaming, hosting, or content creation is preferred.Fresh graduates are encouraged to apply.Imagine a workplace where your growth is our priority, and your well-being is our mission. Here’s why you should be excited to join us:Clear Company Roadmap: Know where we’re headed and how you fit into our journey.Flat Organization Structure: Your voice matters. Enjoy direct access to leadership.Exciting Career Opportunities: Propel your career with challenging and rewarding roles.Energetic, Fun, and Open Culture: Work in an environment that’s vibrant and inclusive.Casual Working Attire: Be comfortable and be yourself.Five (5) Working Days: Enjoy a balanced work-life schedule 40 hours per weekStatutory Contributions: We’ve got your back with all the necessary contributions.Generous Leave Policies:Annual LeaveMedical LeaveHospitalization LeavePaternity LeaveMaternity LeaveExamination LeaveCompassionate LeaveTime-OffTime-SlipEarly Knock-Off on BirthdaySpecial Perks:Confirmation GiftStaff Purchase & DiscountsComprehensive Health Benefits:DentalOpticalOutpatient Medical Benefits including Specialist TreatmentMedical Insurance CoverageLife Insurance CoveragePersonal Accident Insurance CoveragePerformance Incentives:CommissionTraining ProvidedEngagement and Fun:Entertainment & Engagement ActivitiesCompany Gatherings & Year-End CelebrationsApplication Process: Interested candidates are invited to submit their resumes and encouraged to make a 5-minute video introduction, highlighting their on-camera presence and communication skills. You may send in your application via email tocareer@trapo.comor WhatsApp at0126388267.Join us at TRAPO and be a part of a team that is driving the future of the automotive industry!","RM 3,000 – RM 4,500 per month","Software Engineer"
"https://my.jobstreet.com/job/79571576?type=standard&ref=search-standalone#sol=659a23a13216689701950b5f952fec9dccf1cd7a","Software Engineer","AWS Services VIC Pty Ltd","0","Kuala Lumpur City Centre","About CandidateWe are looking for a unique passionate and driven individual to become a part of our IT team.We are looking for a go getter who is experienced in software development to help with designing, implementing and problem solving an in-house custom-built CRM system. You will be working alongside the professional developer of this phenomenal system.Responsibilities include:Design, develop, and maintain new features for a construction CRM platformWork with MS SQL Server to develop and optimize databases for performance and scalabilityContribute to the entire technology stack, from front-end user interfaces to back-end servicesWrite clean, maintainable, and well-tested code to ensure the reliability and performanceThe successful candidate will have:Bachelor’s degree in Computer Science, Engineering, or related fieldExperience of developing scheduler/statistics system as part of CRMProven experience with JavaScript/TypeScript, Node.js, React.js libraries / frameworksFamiliarity with MS SQL ServerStrong problem-solving skills and a passion for learning and implementing new technologiesRemuneration Package Includes:Competitive salaryStrong pipeline of workSupport and mentoring from experienced professionalsCollaborative and positive team cultureGreat career progression opportunitiesApplyIf this sounds like a perfect role for you, and you feel you can add value to our company, we look forward to hearing from you today.","$2,000 – $2,500 per month (AUD)","Software Engineer"
"https://my.jobstreet.com/job/79572729?type=standout&ref=search-standalone#sol=76dba619ecc532854d7c78ce5a9c3e595e1fcdd9","(Mid / Senior) Android Developer","Crypto.com","0","Kuala Lumpur","Requirements:We're looking for self-starting engineers with strong experience developing sophisticated applications. You will be Involved in end-to-end mobile application development life cycle.Interested in building first-class product to solve real world problemsExperienced with various technologies, a fast learner and have a “get things done” mentalityStrong organizational skills and interpersonal skills and the ability to juggle conflicting requirements from many different stakeholdersHumble to embrace better ideas from others, eager to make things better, open to challenges and possibilitiesExperience building complex applications for the Android using Kotlin/JavaMobile application development at the user interface and system levelsExperience and good understanding on Test-Driven-Development (TDD), implement instrumented unit testsExperience with Jetpack Compose, Coroutine, MVVM and the multi-module architectureExperience in building real time graph, displaying real time data etc.Willing to learn#LI-CY2#LI-Hybrid#LI-MidSeniorLife @ Crypto.comEmpowered to think big. Try new opportunities while working with a talented, ambitious and supportive team.Transformational and proactive working environment. Elevate employees to find thoughtful and innovative solutions.Growth from within. We help to develop new skill-sets that would impact the shaping of your personal and professional growth.Work Culture. Our colleagues are some of the best in the industry; we are all here to help and support one another.One cohesive team. Engage stakeholders to achieve our ultimate goal - Cryptocurrency in every wallet.Are you ready to kickstart your future with us?BenefitsCompetitive salaryMedical insurance package with extended coverage to dependentsAttractive annual leave entitlement including: birthday, work anniversaryWork Flexibility Adoption. Flexi-work hour and hybrid or remote set-upAspire career alternatives through us. Our internal mobility program can offer employees a diverse scope.Work Perks: crypto.com visa card provided upon joiningOur Crypto.com benefits packages vary depending on region requirements, you can learn more from our talent acquisition team.About Crypto.com:Founded in 2016, Crypto.com serves more than 80 million customers and is the world's fastest growing global cryptocurrency platform. Our vision is simple: Cryptocurrency in Every Wallet™. Built on a foundation of security, privacy, and compliance, Crypto.com is committed to accelerating the adoption of cryptocurrency through innovation and empowering the next generation of builders, creators, and entrepreneurs to develop a fairer and more equitable digital ecosystem.Learn more at https://crypto.com.Crypto.com is an equal opportunities employer and we are committed to creating an environment where opportunities are presented to everyone in a fair and transparent way. Crypto.com values diversity and inclusion, seeking candidates with a variety of backgrounds, perspectives, and skills that complement and strengthen our team.Personal data provided by applicants will be used for recruitment purposes only.","Unknown","Software Engineer"
"https://my.jobstreet.com/job/79572896?type=standout&ref=search-standalone#sol=1319155231ca60c246ae2504e35232a5c675fe70","(Mid / Senior) iOS Developer","Crypto.com","0","Kuala Lumpur","About the role:As part of the team you will focus on developing best-in-class iOS applications using our modern tech stack. Our apps are written purely in Swift and architected using MVVM-C. We heavily rely on RxSwift/Combine, so any experience in reactive programming is considered a plus.The difference you will make:Collaborate closely with members of tech & product in a cross-functional feature team to develop innovative features for a large global user base.Analyse product requirements and designs provided by product owners, providing valuable feedback based on your expertise in iOS development.Deliver high-quality, modularised, and scalable code that is maintainable and testable within reasonable timelines.Engage in regular sync-ups with not only your feature team, but also the entire iOS team, ensuring that your ideas and insights are heard and valued.Your expertise:Minimum of 2 years of full-time iOS development experience (no upper limit)Proficiency in Swift, UIKit and a solid understanding of iOS development best practices.Familiarity with MVVM architecture (experience with SnapKit and RxSwift/Combine is highly desirable)Experience in writing unit tests and snapshot/UI testsProficiency in Git and familiarity with branching models such as Git-flow, Trunk Based Development, etc.Strong problem-solving skills and a passion for continuous learning.Excellent communication and collaboration abilities.A focus on producing high-quality code and exceptional user experiences.Candidates with more experience will be considered as senior developer.#LI-CY2#LI-Remote#LI-MidSeniorLife @ Crypto.comEmpowered to think big. Try new opportunities while working with a talented, ambitious and supportive team.Transformational and proactive working environment. Elevate employees to find thoughtful and innovative solutions.Growth from within. We help to develop new skill-sets that would impact the shaping of your personal and professional growth.Work Culture. Our colleagues are some of the best in the industry; we are all here to help and support one another.One cohesive team. Engage stakeholders to achieve our ultimate goal - Cryptocurrency in every wallet.Are you ready to kickstart your future with us?BenefitsCompetitive salaryMedical insurance package with extended coverage to dependentsAttractive annual leave entitlement including: birthday, work anniversaryWork Flexibility Adoption. Flexi-work hour and hybrid or remote set-upAspire career alternatives through us. Our internal mobility program can offer employees a diverse scope.Work Perks: crypto.com visa card provided upon joiningOur Crypto.com benefits packages vary depending on region requirements, you can learn more from our talent acquisition team.About Crypto.com:Founded in 2016, Crypto.com serves more than 80 million customers and is the world's fastest growing global cryptocurrency platform. Our vision is simple: Cryptocurrency in Every Wallet™. Built on a foundation of security, privacy, and compliance, Crypto.com is committed to accelerating the adoption of cryptocurrency through innovation and empowering the next generation of builders, creators, and entrepreneurs to develop a fairer and more equitable digital ecosystem.Learn more at https://crypto.com.Crypto.com is an equal opportunities employer and we are committed to creating an environment where opportunities are presented to everyone in a fair and transparent way. Crypto.com values diversity and inclusion, seeking candidates with a variety of backgrounds, perspectives, and skills that complement and strengthen our team.Personal data provided by applicants will be used for recruitment purposes only.","Unknown","Software Engineer"
"https://my.jobstreet.com/job/79553643?type=standout&ref=search-standalone#sol=4f05ce77d513e7febb3cb23bb41c7e988654f239","Full Stack Developer (ASP.net C#)","MICROLIVE VISION TECHNOLOGY SDN. BHD.","0","Kuala Lumpur","Summary of position:We are looking for a Software Developer to build and implement functional programs. You will work with other Developers and Product Managers throughout the software development life cycle. In this role, you should be a team player with a keen eye for detail and problem-solving skills.Fresh graduated student are welcomed to apply.Duties and Responsibilities:Involved in entire SDLC process - Design, development, testing, deployment, and maintenance.Building web services and APIs to support the web application or for third-party.Deliver high-quality code while working and communicating in a small, agile environment.Demonstrate strong commitment and dedication to take up challenges and solving important problems beyond normal working hours as and when required.Optimization of the application for extensibility and scalability.Provide maintenance support to customers (internal and/or external) by investigating and rectifying reported systems shortcomings.Qualifications:Candidate must possess at least Bachelor's Degree/Post Graduate Diploma/Professional Degree in Computer Science/Information Technology or equivalent.Required language(s): English, Mandarin (Due to the needs of client support)1 or more year(s) of working experience in the related field is strong advantage for this job position.Mandatory Proficiency Language: C# , Nodejs, HTML / CSS / Javascript, SQLAdditional (Framework): NET MVC (.NET CORE 6 and above), .NET Entity Framework, Web services Integration REST API, UI Framework/Library (Boostrap, Nodejs, Jquery)Mandatory DB:MS SQLAdditional DB:PostgresqlKnowledge in the following is an advantage:Frontend frameworks such as VueJS or any equivalentCloud computing services by Azure, experience in AWS is a plusA collaborative team player who is open to exploring new technologiesWillingness to adapt to changes in fast-growing environments with multiple and new technologiesStrong problem-solving skillExperience in agile software development","RM 6,000 – RM 9,000 per month","Software Engineer"
"https://my.jobstreet.com/job/79564606?type=standard&ref=search-standalone#sol=9750e2aa3a731d602d345b4d7aa10b8436fb2192","Senior Java Backend Programmer","LEO CODE SDN. BHD.","0","Kuala Lumpur","Job Responsibilities:Participate in the company’s project demand analysis and system design;Complete the design, coding, testing, and related documents of the module;Participate in code design, review, and inspection;Able to independently solve problems encountered in development;Participate in project support development and maintenance;Debugging and resolving technical problems reportedProvide day-to-day technical support to end usersJob Requirements:Full-time undergraduate degree or above, Min 3 years or more related working experience , computer-related majors are preferred;Solid foundation in Java, good code style;Familiar with open source technologies and frameworks based on j2ee: spring;Familiar with at least one cache: redis, memcached;Familiar with Linux environment and operation, git usage, familiar with mvn;Familiar with Java SDK 8 ,Java Spring Boot ,MySQL ,Kafka knowledge ,Docker Knowledge and java environment setup for server.Good communication skills and logical thinking ability;Strong learning ability, high sense of responsibility and team spirit.Fully remote and with the requirement that candidates must reside in Kuala Lumpur.Salary Pay range from RM7000 to RM12000 base on experience.Benefit :Working Hour Monday to Friday (total 45 hours)Able to work on weekend or Public Holiday if necessaryGuaranteed Yearly BonusAccommodation provided (For not reside at KL)Education support (Terms & Condition)Training providedSalary Pay range from RM7000 to RM12000 base on experience.","RM 7,500 – RM 10,000 per month","Software Engineer"
"https://my.jobstreet.com/job/79567832?type=standout&ref=search-standalone#sol=b59050d9c40e2466439e4014fe42e4cc4e21711e","Senior/Software Engineer (Microservices)","M1 DIGITAL LABS SDN. BHD.","0","Kuala Lumpur","About the jobDigital Labs from M1 WP. Kuala Lumpur, Federal Territory of Kuala Lumpur, Malaysia (On-site)Job ResponsibilitiesDevelop, test, and maintain robust and scalable applications using Java and Spring Boot, ensuring they meet high performance, security, and quality standards.Deploy and manage microservices on Azure cloud platforms, ensuring cost efficiency and system reliability.Lead the transformation of monolithic applications into microservices architecture for improved scalability and maintainabilityWork closely with cross-functional teams, including QA, DevOps, and product management, to ensure successful project execution and delivery.Conduct code reviews, implement best practices, and provide mentorship to junior developers, fostering a culture of continuous improvement.Develop unit and integration tests to ensure code quality and optimize system performance through effective caching and other techniques.Job Requirements3-5 years of experience in developing and maintaining applications using Java and Spring Boot.Proficiency in core Spring frameworks like Spring MVC, Spring Data, and Spring Security.Strong understanding of building and consuming RESTful APIs.Experience in deploying Spring Boot applications in various environments (e.g., on-premises, cloud).Familiarity with CI/CD pipelines and version control systems like Git.Knowledge of integrating with databases (e.g., MySQL, PostgreSQL, CosmoDB)Ability to troubleshoot and resolve issues related to memory, connectivity, or application performance.Basic understanding of deploying Spring Boot applications on cloud platforms (Azure).Familiarity with containerization using Docker and orchestration using Kubernetes.Knowledge of implementing security features like JWT, OAuth2, and role-based access controls in Spring Boot.Understanding of secure coding practices and principles.Ability to work effectively in a team environment and communicate technical concepts clearly.Strong documentation skills for code, systems architecture, and configurations.","Unknown","Software Engineer"
"https://my.jobstreet.com/job/79568426?type=standout&ref=search-standalone#sol=4a6177a99a173d987e5e6e08e34453ec2e073c31","Internship","MISC Maritime Services Sdn. Bhd.","0","Kuala Lumpur City Centre","About the roleExciting internship opportunity available at MISC Marine in Kuala Lumpur. Gain hands-on experience in the engineering field and contribute to the company's projects and initiatives. This full-time position offers a valuable learning experience and the chance to be part of a dynamic team.What you'll be doingAssist with engineering tasks and projects as assignedConduct research and analysis to support the engineering teamContribute to the implementation of engineering processes and proceduresCollaborate with cross-functional teams to achieve project goalsOverseeing different phases of the shipbuilding project.Project documentation administration.What we're looking forCurrently pursuing a degree in engineering, management or a related fieldStrong analytical and problem-solving skillsGood understanding of engineering principles and practicesAbility to work collaboratively in a team environmentExcellent communication and interpersonal skillsEagerness to learn and contribute to the company's successWhat we offerAt MISC Marine, we are committed to providing our employees with a supportive and enriching work environment. As an intern, you'll have the opportunity to gain valuable experience, receive mentorship from experienced professionals, and contribute to meaningful projects that align with your interests and career goals. We offer competitive compensation, opportunities for professional development, and a collaborative culture that fosters growth and innovation.About usMISC Marine offers a one-stop solution for integrated marine services to navigate marine complexities and enhance shipping operations efficiency. With a strong focus on innovation and sustainability, we are dedicated to driving the industry forward and creating lasting value for our clients and stakeholders. Join our team and be part of our exciting journey.Apply now for this exciting internship opportunity.","RM 1,000 per month","Software Engineer"
"https://my.jobstreet.com/job/79564309?type=standout&ref=search-standalone#sol=0c223b3067a97bb99cb4cfa9fe1a25f8eecb4f50","Lead Engineer (Apps Design) - Mobile Apps Platform - Hybrid Working","SEEK","0","Kuala Lumpur City Centre","Company DescriptionAbout SEEKAt SEEK, we serve a noble purpose: to help people live more productive and fulfilling working lives and to help organisations succeed.By joining us, you’ll be part of a multinational technology business that is far-reaching with a start-up working culture that focuses on a set of collaborative values and appreciates dynamic cultures. SEEK is a place where potential meets possibility – it’s where your career aspiration and our purpose can make great things happen.Why join us?We’re looking for people who thrive in dynamic teams, appreciate progressive industries, and enjoy tackling regular new challenges in a large-scale, modern, and agile environment. As one of Asia Pacific’s largest tech companies, you’ll contribute to multilingual systems, solving high-impact problems to the benefit of millions of people within the region. Expect a great investment in your career development with access to workshops, conferences & courses while you work alongside seasoned experts. Be part of a fast-growing company with a strong culture and clear purpose, innovation and strong investment in responsible AI. SEEK offers you the opportunity to be involved in impactful work and be part of a great team.Job DescriptionThe TeamOurMobile Apps Platformteam is responsible for the core architecture, infrastructure, operational practices, and design governance that enable our Candidate Domain teams to deliver high quality experiences for our SEEK, Jobsdb, and Jobstreet mobile apps. Our ambition is to deliver world class apps that delight our candidates and hirers by leading teams to build consistent, beautiful, reliable, and secure apps at scale.We work on a mixture of operational, tactical, and central initiatives that help maintain our platform health, improve the engineering experience, enable efficient delivery of value at scale, elevate the quality of our user experience, and grow our mobile apps capability at SEEK.We are a multi-functional distributed agile team of Android/iOS engineers, product, design, and delivery specialists located across Australia, Hong Kong, and Malaysia. We are driven by a strong sense of passion for our customers (internal teams and candidates/hirers), high quality engineering, and the continuous improvement of our platform to enable teams at SEEK to drive rapid value to our candidates/hirers.We apply a combination of agile, extreme programming, and mobile best practices, supporting the software we release end to end, welcome diverse thinking, and are looking for ways to continuously improve the way we work.About the roleWe are looking for versatile engineers who are passionate about their craft, have a solid technical understanding of the Mobile Apps ecosystem, a strong customer focus, a deep care for people and a delivery mentality.As the Lead Android Engineer you will lead the sustainable delivery of services/products for our Android Platform. You will ensure our solutions are technically fit for purpose, the team is healthy, and the engineers within it are even healthier.You will work alongside other technical leaders to architect solutions, evolve delivery/technical practices of the team, lead the team to write high quality maintainable software, grow the capabilities of other engineers, and support their career development with effective line management.As part of your remit, you’ll play a key role in driving our platform’s roadmap, partnering with product and other mobile technical leaders to deliver to our mobile ambition and SEEK’s overall technical strategy.ResponsibilitiesBuildGuide other engineers to build, test, deploy and maintain software from development through to productionStrengthen current Software Engineering practices and improve existing DevOps culturePartner Staff Engineer in ensuring the platform health of our systems are, reliable, secure, resilient, and efficientBuild and operate highly scalable and performant software in alignment with existing frameworks and SEEK’s technology strategyTroubleshoot and manage production incidents through to resolution includingproactively managing on-call process, incident reviews and supporting documentationExecuteStrengthen engineering discipline and team capabilityEnsure adherence to Agile delivery rituals and practices (if required) and continuous improvementActively connect with others in an effective, timely manner with empathy including key partners in other areasConsistently write clean, well-tested, readable software, using secure coding practices, current patterns and toolingManage skill development of secure system design and coding practices.Ensures team alignment to SEEKs security principles.In depth understanding of your customers and consider their needs at the core of all developmentSupportGrow team member capabilities with effective line management & coachingLead the wellbeing of the team by fostering safety, inclusivity, diversity andengagement/cultureImproves teams’ abilities through coaching and sets example behaviourStrengthenLead the recruitment and onboarding of new hiresKey contributor to communities of practice at SEEKActively seek out learning opportunities for self and others through inviting and providing regular feedbackQualificationsEssential Skills and ExperienceWorking in a multi-functional software engineering team with some experience insupervising/coaching/mentoring EngineersExperience applying and improving continuous integration and continuous deployment (CI/CD) practicesSupport a culture that that promotes continuous improvement in a team environment.Writing well-tested, readable software, using secure coding practices, current patterns, and toolingExperience with the design, development, support, and maintenance of cloud first applications and APIsExperience using logging and monitoring/alerting tools that will support operational healthDrive software development practices such as: Test Driven Development, Behavioural Driven Development, Clean CodeManaging operational support duties, including on-call support and after hours work as requiredAbility to collaborate with various partners, focusing on outcomes which best serve the overall APAC strategyAbility to operate in team with geographically distributed team membersProactively sharing knowledge and skills to help other team members grow through coaching and mentoringAct as a SEEK engineering ambassador and help attract technical talentDriving collaboration and teamwork across teamsProactively contributing to internal or external professional communities of practice events and finding opportunities for team members to do so.Additional InformationPerks and benefitsAt SEEK we offer:Support of flexible working, including a mix of office and work from home days depending on your role.The opportunity to work from anywhere for up to 4 weeks per financial yearCasual dress – every dayAt SEEK, we are passionate about fostering a culture of inclusion and wellbeing that embraces and values the diversity of our people. We are a purpose driven business that works with heart.We know teams with diverse ideas, experiences and perspectives are more creative and are critical to ensuring effective delivery and innovating to enable our future success. As such, we welcome applications from people with diverse backgrounds and life experiences, especially as they relate to gender, sexual identity, culture, faith, disability and life stages. If you have the skills, curiosity and an adaptable mindset but don't meet every responsibility or qualification listed in this advertisement, please still get in touch with us.Should you require any specific support or adjustments throughout the recruitment process and beyond, please advise us and we will be happy to assist.For this role, only those with eligible right to work will be considered.SEEK kindly requests no unsolicited resumes or approaches from recruitment agencies and will not be responsible for any associated fees.","Unknown","Software Engineer"
"https://my.jobstreet.com/job/79564304?type=standout&ref=search-standalone#sol=315b8d2e503d3e66790fd627bb405bfb3d2cd1e9","Staff Engineer - Developer Experience (Hybrid Working)","SEEK","0","Kuala Lumpur","Company DescriptionAbout SEEKAt SEEK, we serve a noble purpose: to help people live more productive and fulfilling working lives and to help organisations succeed.By joining us, you’ll be part of a multinational technology business that is far-reaching with a start-up working culture that focuses on a set of collaborative values and appreciates dynamic cultures. SEEK is a place where potential meets possibility – it’s where your career aspiration and our purpose can make great things happen.Why join us?Be part of a multinational tech company with strong core values to help us solve complex challenges while building a flexible, exciting career – one that could take you anywhere. We’re looking for people who thrive in dynamic teams and enjoy tackling regular new challenges in a large-scale, modern, and agile environment.As one of Asia Pacific’s largest tech companies, you’ll contribute to multilingual systems, solving high-impact problems to the benefit of millions of people within the region. Be part of a fast-growing company with a strong culture and clear purpose, innovation and strong investment in responsible AI. SEEK offers you the opportunity to be involved in impactful work and be part of a great team.Expect a great investment in your career development with access to workshops, conferences & courses while you work alongside seasoned experts.Job DescriptionThe TeamThe Developer Experience team at SEEK is dedicated to revolutionising the software engineering journey. Operating within SEEK's Engineering Platforms, our team is a cross-functional, multi-disciplinary team that work within APAC matrix organisational structure.The team is responsible for developer experience part of Automat, SEEK’s internal developer platform, based on Cloud Native ecosystem on Kubernetes. The team is also responsible other developer systems such as Backstage and other internal tools for managing containerised workloadsAbout the roleJoin our dynamic team at SEEK Group as a Staff Engineer and be a key player in shaping the future of our engineering initiatives. In this role, you'll have the opportunity to make a significant impact by developing cutting-edge software solutions within our product delivery, systems, and platform teams. Your expertise will be instrumental in enhancing engineering quality, mentoring fellow Software Engineers, and delivering user-centric, reliable, and scalable solutions.Reporting to the Engineering Manager, you’ll have the autonomy to lead the development of Automat, SEEK’s innovative internal developer platform, on Kubernetes. In addition to guiding your own team, you will collaborate with other technical leaders and teams within the Engineering Platform domain to shape the technical roadmap for Automat, specifically focusing on developer experience concerns. You will also play a vital role as a developer advocate within SEEK’s engineering community to help adoption of project Automat.If you're passionate about driving innovation and thrive in a collaborative environment, we invite you to join us in revolutionizing the way we build and deliver software at SEEK Group. Apply now to embark on an exciting journey of growth and impact!This role for Staff Software Engineer could include the following:Build and operate highly scalable and performant software in alignment with SEEK’s technology strategy.Improve platform health, ensuring that our systems are, reliable, resilient, and efficient according to SEEK development practices.Coach and mentor Software Engineers. Lead, coach, and mentor Software Engineers to foster a culture of technical excellence.Ensure platform health for services owned are aligned to SEEK’s technical metrics goals.Improve Agile delivery practices through collaboration with the Engineering Manager and Business Analyst.Act as a developer advocate, building relationships with other engineering teams to ensure the right problems are addressed.You will work with various roles, including Software Engineers at multiple levels such as Staff Engineer, Engineering Manager, Business Analyst / Iteration Manager, and Platform EngineersQualificationsQualificationsHas created and maintained software in two or more modern software development languages.Deep understanding of Kubernetes as an Application Developer. More experience in the Cloud Native space is desired (e.g.: service mesh architecture on Istio, GitOps practice via ArgoCD).Experience with the design, development, support, and maintenance of cloud first applications, preferablyAWS.Strong experience withDesign Patterns.Experience with software observabilities (logging, tracing, monitoring/alerting).Experience applying and improving continuous integration and continuousdeployment (CI/CD) practices.Exceptional problem-solving skills and the ability to influence and lead technical decisions within the team and across the organisation.Strong communication and collaboration skills, with the ability to work effectively in an engineering platform space.Additional InformationPerks and benefitsAt SEEK we offer:Support of flexible working, including a mix of office and work from home days depending on your role.The opportunity to work from anywhere for up to 4 weeks per financial yearCasual dress – every dayAt SEEK, we are passionate about fostering a culture of inclusion and wellbeing that embraces and values the diversity of our people. We are a purpose driven business that works with heart.We know teams with diverse ideas, experiences and perspectives are more creative and are critical to ensuring effective delivery and innovating to enable our future success. As such, we welcome applications from people with diverse backgrounds and life experiences, especially as they relate to gender, sexual identity, culture, faith, disability and life stages. If you have the skills, curiosity and an adaptable mindset but don't meet every responsibility or qualification listed in this advertisement, please still get in touch with us.Should you require any specific support or adjustments throughout the recruitment process and beyond, please advise us and we will be happy to assist.For this role, only those with eligible right to work will be considered.SEEK kindly requests no unsolicited resumes or approaches from recruitment agencies and will not be responsible for any associated fees","Unknown","Software Engineer"
