"Link","Job Title","Company","Date Posted","Location","Job Description","Salary","Search Query"
"https://my.jobstreet.com/job/79575212?type=standard&ref=search-standalone#sol=ede5265c4d793632866aa5ee3bb2ee78fb649f0c","System Analyst","Michael Page International (Malaysia) Sdn Bhd","0","Kuala Lumpur","This Systems Analyst role involves working closely with teams to gather requirements, design solutions, and provide support for in-house systems and mobile applications. The position also requires strong technical skills in reporting, database design, and problem-solving, along with the ability to collaborate effectively and adapt to a fast-paced environment.Client DetailsThis company is a leading cosmetics retailer in Asia, particularly known for offering a wide range of beauty and skincare products. It operates across multiple markets and has built a reputation for providing both international and local brands to meet diverse consumer needs. The business is known for its strong physical store presence, complemented by e-commerce platforms, allowing customers to shop both in-store and online. It has also expanded into offering beauty and health-related services, solidifying its position as a go-to for beauty enthusiasts across the region.DescriptionResponsible for requirement study, testing, deployment, and support/enhancement of in-house systems, mobile applications, and reporting.Work closely with the helpdesk functional team, peers, and business users on system requirement studies and issue clarification.Assist in solution architecture, application design, and database design based on task requirements.Manage developers in designing and developing architecture for data warehousing components (e.g., tool integration strategy, data staging, movement and aggregation, information and analytics delivery, and data quality strategy).Design and implement standard reporting and dashboards using SSIS, SSAS, SSRS, Microsoft SQL stored procedures, and Microsoft Excel Pivot.Perform technical specification writing and documentation.Exhibit strong collaboration and communication skills, a positive attitude, and take responsibility for assigned tasks.Work independently, be detail-oriented, and demonstrate strong problem-solving skills.Work on bug fixes and fine-tune application performance.Be a fast learner and capable of working in a fast-paced environment with tight deadlines.ProfileBachelor's degree in a related field.A minimum of 5 years of experience in web and software development.Experience in the retail industry is an added advantage.Demonstrated knowledge of web/mobile languages/technologies such as JavaScript, ASP.NET, HTML, CSS, PHP, AngularJS, Node.js, MVC, jQuery, AJAX, Bootstrap, etc.Demonstrated knowledge of backend languages/technologies such as C#, MS SQL Server, MySQL, web services, VBA, etc.Demonstrated knowledge of software components and third-party programs, such as API (JSON, REST, XML).Demonstrated knowledge of source control management, such as GitHub.Experience with Windows Server and Linux.Job OfferOpportunity to work with a leading cosmetics retailer, gaining experience in a fast-paced, dynamic industry.Exposure to a diverse range of international and local beauty brands.Access to professional development within a large, well-established company.Be part of a collaborative, innovative team focused on delivering exceptional customer experiences.Benefit from growth opportunities in both e-commerce and physical retail sectors.To apply online please click the 'Apply' button below. For a confidential discussion about this role please contact Jarryl Boey on+603 2302 4078.Agensi Pekerjaan Michael Page International (Malaysia) Sdn Bhd | Registration No.914741-W.","MYR8k - MYR9k p.m.","Solution Architect"
"https://my.jobstreet.com/job/79575392?type=standout&ref=search-standalone#sol=20e80c1a17e5f04ee5088de7951be8fc3cfd9a3b","IT Product Manager","","0","Kuala Lumpur","Job Description:Responsible for the sales target, work closely with Account manager, Channel manager to achieve yearly sales target.Build and enhance relationship with potential customers or partners to win projects.Responsible in providing Cloud Data Center architecture/NFVI, solution, configuration, integration and application in Storage, Virtualization, Cloud and Networks.Responsible to conduct solution and advantage presentation to customers or partners.Responsible to conduct quarter or half year technical updates or workshop or training to our partners.​Job Requirements:Candidate must possess at least a Degree in Computer Science/ Engineering (Computer/ Telecommunication) or equivalent.At least one year experience in Server/Storage virtualization and Data Center would be an advantage.Good solution positioning skill/knowledge with a strong master on EMC, NetApp, HP, IBM, HDS, Dell etc storage solutions, especially on Enterprise Storage & Data Center.Required skills for IT: SAN/NAS storage, backup, disaster recovery solution.Team player with strong communication, interpersonal skills and project management skill.Contract position available.","Unknown","Solution Architect"
"https://my.jobstreet.com/job/79571576?type=standard&ref=search-standalone#sol=a1c2dec381df9404c07d2fb9ecbe74aafa06f243","Software Engineer","AWS Services VIC Pty Ltd","0","Kuala Lumpur City Centre","About CandidateWe are looking for a unique passionate and driven individual to become a part of our IT team.We are looking for a go getter who is experienced in software development to help with designing, implementing and problem solving an in-house custom-built CRM system. You will be working alongside the professional developer of this phenomenal system.Responsibilities include:Design, develop, and maintain new features for a construction CRM platformWork with MS SQL Server to develop and optimize databases for performance and scalabilityContribute to the entire technology stack, from front-end user interfaces to back-end servicesWrite clean, maintainable, and well-tested code to ensure the reliability and performanceThe successful candidate will have:Bachelor’s degree in Computer Science, Engineering, or related fieldExperience of developing scheduler/statistics system as part of CRMProven experience with JavaScript/TypeScript, Node.js, React.js libraries / frameworksFamiliarity with MS SQL ServerStrong problem-solving skills and a passion for learning and implementing new technologiesRemuneration Package Includes:Competitive salaryStrong pipeline of workSupport and mentoring from experienced professionalsCollaborative and positive team cultureGreat career progression opportunitiesApplyIf this sounds like a perfect role for you, and you feel you can add value to our company, we look forward to hearing from you today.","$2,000 – $2,500 per month (AUD)","Solution Architect"
"https://my.jobstreet.com/job/79571823?type=standout&ref=search-standalone#sol=da5a65a709c6e90fe0bf3d0a3c741b3db43998e9","IT Product Executive/Manager","LHK CENTURY SDN. BHD","0","Kuala Lumpur","Job responsibilities:1. Manage and oversee small to medium size projects.2. Develop detailed project plans, including timelines, team member duties, and project goals.3. Monitor project progress to ensure on-time delivery and maintain quality standards.4. Assist Project Managers with various project-related requests.5. Perform administrative tasks to keep the stakeholders well-informed on project progress.6. Demonstrate an understanding of project delivery and acceptance processes within a fast-paced business environment.7. Identify project risks and prepare risk mitigation measures.8. Generating various reports on project data as per company requirements.Job requirements:1. Bachelor’s degree in business administration or a related discipline.2. General knowledge of PC applications, especially Microsoft Office.3. Excellent written and verbal communication skills in Chinese.4. Ability to work under pressure with tight deadlines.5. Effective problem-solving and decision-making abilities.6. Leadership potential and the ability to work well in a cross-functional environment.7. Attention to detail and strong organizational skills.8. Previous experience in project management will be considered an advantage.9. Fluent in Mandarin (in order to liaise with Mandarin speaking associates)10. Open to candidate with full working rights in Malaysia only.Benefits:13th month's salaryBonus + increments + promotionPublic Holidays Entitlement (follow all gazette for Federal Territory of Kuala Lumpur)Annual Leave 14 daysMedical claimOthers benefitFULLY WORK FROM HOME**Short notice candidates is prefer.","RM 6,000 – RM 9,000 per month","Solution Architect"
"https://my.jobstreet.com/job/79567957?type=standout&ref=search-standalone#sol=9596e9cbaaf151d23ccd755b2e6b6eb90676006b","Senior/Cloud Infrastructure Engineer","M1 DIGITAL LABS SDN. BHD.","0","Kuala Lumpur","About the jobM1 is Singapore’s most vibrant and dynamic communications company, providing mobile and fixed services to over two million customers.M1’s vision is to enable digital services with an elastic Cloud-native and modular technology stack and offer hyper-personalized and predictive service experiences for both consumers and enterprises. We are in midst of a company-wide multi-year digital transformation to uplift, digitalize, and future-proof our entire business model. The transformation will empower us to experiment, reach industry-leading efficiency, and become the ecosystem partner of choice.Join us and be a part of a high-performing agile and collaborative team that is paving the way for M1 to become an adaptable, Digital-first telco. Together we can innovate with the latest technologies, offer new value propositions rapidly to the market, and change Singapore’s way of telecommunication.About the RoleWe are seeking a skilled and experienced Cloud Administrator to join our dynamic IT team. As a Cloud Administrator, you will be responsible for managing and maintaining our Azure and AWS cloud environments, ensuring its reliability, security, and optimal performance. You will collaborate with other IT professionals to implement and support various Azure and AWS-based solutions, contribute to the design and implementation of Azure and AWS services, and troubleshoot any issues that may arise.Job ResponsibilitiesBuild, deliver & operate cloud solutions that has integration to various on premise or IaaS/PaaS/SaaS platform.applications in the planning, design, and deployment of highly scalable, secure, cost effective and reliable solutions over Cloud.Management of cloud infrastructure setup and implementation.explore new solutions and technologies, integrate learning and recommendations into the development process.architecture artefacts and documentation to effectively explain architecture design concepts and solutions to various level of teams.Incident, problem & change management.and maintain efficient documentation for IT standards, processes, and policies as well for troubleshooting, maintaining, and configuring systems.Audit and infrastructure/network security scans, disaster recovery.automation wherever possible to improve operations efficiencies.learn, and deploy new technologies that will help the company to reduce cost or improve operational efficiencies.Drive optimizing involving multiple business stakeholders resulting in reduction of cloud spend.Have knowledge about Budget management, license/product renewals and cost reporting.Must have hands-on experience on AWS/Azure Cloud and Terraform/Ansible or any others automation scripts.Job RequirementsDegree in Computer Science, Information Systems or equivalentMore than 5 years’ experience working in critical operational environment, architecting, designing, developing and management cloud (Azure/AWS) infrastructure.Knowledge in technology infrastructure domains such as virtual server, networking, CI/CD and monitoring toolsMust have valid Certification in Azure Administration/Architect and AWS Solution Architect or equivalent.Possess good project and people management skills.Experience in managing an Outsourcing partner/System integrator will have an added advantage","Unknown","Solution Architect"
"https://my.jobstreet.com/job/79567832?type=standout&ref=search-standalone#sol=69e6b4506828992b5a7b872cfdb8229e94712030","Senior/Software Engineer (Microservices)","M1 DIGITAL LABS SDN. BHD.","0","Kuala Lumpur","About the jobDigital Labs from M1 WP. Kuala Lumpur, Federal Territory of Kuala Lumpur, Malaysia (On-site)Job ResponsibilitiesDevelop, test, and maintain robust and scalable applications using Java and Spring Boot, ensuring they meet high performance, security, and quality standards.Deploy and manage microservices on Azure cloud platforms, ensuring cost efficiency and system reliability.Lead the transformation of monolithic applications into microservices architecture for improved scalability and maintainabilityWork closely with cross-functional teams, including QA, DevOps, and product management, to ensure successful project execution and delivery.Conduct code reviews, implement best practices, and provide mentorship to junior developers, fostering a culture of continuous improvement.Develop unit and integration tests to ensure code quality and optimize system performance through effective caching and other techniques.Job Requirements3-5 years of experience in developing and maintaining applications using Java and Spring Boot.Proficiency in core Spring frameworks like Spring MVC, Spring Data, and Spring Security.Strong understanding of building and consuming RESTful APIs.Experience in deploying Spring Boot applications in various environments (e.g., on-premises, cloud).Familiarity with CI/CD pipelines and version control systems like Git.Knowledge of integrating with databases (e.g., MySQL, PostgreSQL, CosmoDB)Ability to troubleshoot and resolve issues related to memory, connectivity, or application performance.Basic understanding of deploying Spring Boot applications on cloud platforms (Azure).Familiarity with containerization using Docker and orchestration using Kubernetes.Knowledge of implementing security features like JWT, OAuth2, and role-based access controls in Spring Boot.Understanding of secure coding practices and principles.Ability to work effectively in a team environment and communicate technical concepts clearly.Strong documentation skills for code, systems architecture, and configurations.","Unknown","Solution Architect"
"https://my.jobstreet.com/job/78271420?type=standout&ref=search-standalone#sol=d4c6fcbdfb84fa096aa71d9fe50099f39bd1a0b0","Technical Account Manager","iSoftStone Group","0","Bangsar South","Responsibility1. Representing Cloud Service Provider at the customer interface, comprehensively understanding the customer's IT and application architecture, maintaining cooperation with key customer personnel, conducting analysis and review of the customer's existing IT architecture, assisting and providing consultation on overall IT architecture planning, and facilitating implementation and delivery.2. Possessing basic troubleshooting and issue resolution capabilities across Cloud Service Provider product lines, helping enterprise-level customers enhance the stability of their cloud-based businesses. This includes customized best practices, handling mechanisms for exceptions, and emergency response plans. Leveraging Alibaba Cloud's product lines and technical systems to help customers gain in-depth understanding of cloud services and continuously improve their technical capabilities.3. Driving continuous optimization of Cloud Service Provider's intelligent products, resolving technical issues encountered by customers in their use of cloud computing services and solutions. Continuously improving problem handling mechanisms and processes, collaborating directly with Alibaba Cloud service experts and product specialists to ensure efficient resolution of enterprise technical issues.CriteriaProficiency in both Chinese and English languages, capable of using them simultaneously in the workplace.1. Bachelor's degree or above in computer science or related fields. Minimum of 3 years of experience in solution design, architecture, backend development, maintenance, and optimization of large-scale internet applications or enterprise applications in the entertainment, retail, finance, or similar industries.2. Possess a solid IT background, preferably with extensive knowledge and hands-on experience in cloud computing, particularly public clouds.3. Strong problem analysis and solving skills, with a keen sense of technology and the ability to identify risks effectively.4. Excellent communication skills, able to collaborate efficiently with internal teams and smoothly communicate with IT and business personnel of clients. Able to quickly identify issues, fully understand the requirements of all parties involved, and drive progress in internal and external collaborations.5. Strong sense of responsibility, with a customer-first mindset and a focus on achieving customer success. Previous experience in cloud services is preferred.Excellent documentation writing skills, presentation skills, and technical training abilities.6. Strong ability to handle pressure and execute tasks effectively.Meet one or more of the following criteria:(1) Familiarity with one or more of the following data management technologies: Oracle, DB2, SQL Server, MySQL, PostgreSQL, NoSQL. Practical experience in deploying, troubleshooting, and performance tuning related products independently.(2) Familiarity with one or more middleware products such as Nginx, JBoss, WebLogic, WebSphere, Dubbo.(3) Proficiency in at least one programming language among Java, C, C++, Python, PHP, GO, and understanding of server-side multi-threading and high-concurrency processing mechanisms within the corresponding development frameworks.(4) Proficiency in Windows, Linux operating systems, and knowledge of DNS, AD, with more than 5 years of experience in system administration, networking, and troubleshooting.(5) Familiarity with open-source or commercial technologies such as Hadoop, Spark, Storm, HBase, Hive, and practical experience in developing big data applications.(6) Experience in application container platform design and business transformation based on K8S.","RM 5,000 – RM 7,000 per month","Solution Architect"
"https://my.jobstreet.com/job/79564555?type=standard&ref=search-standalone#sol=2eb84ced959983e8d9b3e2886a2a4000bd4543a1","Network Operations Engineer - WFH : 12 months renewable contract","PERSOLKELLY Workforce Solutions Malaysia Sdn Bhd","0","Kuala Lumpur","The role of a Network Operations Engineer is responsible for the Day to Day availability of the production network which includes all aspects of the Data, Voice and Contact Center Services capabilities. The candidate will work closely with a mixture of Internal and External resources including Vendors/Partners to provide Level 2 support. The successful candidate will require extensive experience in multinational environments and with the specific technologies used to deliver the associated services for client. This is a technical position requiring both strong technical knowledge in conjunction with demonstration of ownership.Key functions include:Providing second-level network Incident Management and Patch managementYou will also work on service restoration, sustainability, and proactive service improvement.Mentoring junior engineers for technical and professional advancement.Participating and at times leading Major Incident conference calls and can identify required resources. Provide full Root Cause Analysis for any production outages.Implementing repeatable move, add, changes for LAN, WAN, security, wireless, remote access, load balancing, and cloud connectivity.Responsible for Lifecycle implementation projects and building support documentation.Functioning as a point of contact for other engineers for Incidents and Changes.Employing production monitoring tools to ensure that all systems are running and available.Ensuring effective communication to internal customers.QualificationsRequired Skills5 years of experience working with a TCP/IP networkKnowledge of Carrier Services – SDWAN & WAN Circuits, MPLS, VPNS, VRFs, DWDM, Frame Relay, Point to PointExpertise with Network Operating Systems (Aruba & Cisco)Expertise with VeloCloud OrchestratorFamiliarity with IT governance standards and compliance including ITIL and SOCStrong customer service skills. Good temperament, ability to handle stressful situations, and provide customer-facing support in a professional manner.Strong analytical skills, able to use complex data to find opportunities, recognize problems and draw logical conclusions.Experience with working as part of a Global 24*7 support modelPreferred SkillsCertifications: Network +, CCNA, CCNPKnowledge of networking infrastructure suppliers and service offerings including; Aruba, VeloCloud, Cisco, ZscalerDemonstrable understanding of network load balancers and firewallsExperience with monitoring applications such as SolarWindsFamiliarity with common Cloud technologies (Azure, AWS)Ability to produce and present technical information to both technical and non-technical personnelTeamwork: establish and maintain effective and appropriate working relationships with those contacted during the workday","RM 17,000 – RM 19,000 per month","Solution Architect"
"https://my.jobstreet.com/job/79564304?type=standout&ref=search-standalone#sol=f32f90ca27a64f0041d37ae39203474efc11d6d4","Staff Engineer - Developer Experience (Hybrid Working)","SEEK","0","Kuala Lumpur","Company DescriptionAbout SEEKAt SEEK, we serve a noble purpose: to help people live more productive and fulfilling working lives and to help organisations succeed.By joining us, you’ll be part of a multinational technology business that is far-reaching with a start-up working culture that focuses on a set of collaborative values and appreciates dynamic cultures. SEEK is a place where potential meets possibility – it’s where your career aspiration and our purpose can make great things happen.Why join us?Be part of a multinational tech company with strong core values to help us solve complex challenges while building a flexible, exciting career – one that could take you anywhere. We’re looking for people who thrive in dynamic teams and enjoy tackling regular new challenges in a large-scale, modern, and agile environment.As one of Asia Pacific’s largest tech companies, you’ll contribute to multilingual systems, solving high-impact problems to the benefit of millions of people within the region. Be part of a fast-growing company with a strong culture and clear purpose, innovation and strong investment in responsible AI. SEEK offers you the opportunity to be involved in impactful work and be part of a great team.Expect a great investment in your career development with access to workshops, conferences & courses while you work alongside seasoned experts.Job DescriptionThe TeamThe Developer Experience team at SEEK is dedicated to revolutionising the software engineering journey. Operating within SEEK's Engineering Platforms, our team is a cross-functional, multi-disciplinary team that work within APAC matrix organisational structure.The team is responsible for developer experience part of Automat, SEEK’s internal developer platform, based on Cloud Native ecosystem on Kubernetes. The team is also responsible other developer systems such as Backstage and other internal tools for managing containerised workloadsAbout the roleJoin our dynamic team at SEEK Group as a Staff Engineer and be a key player in shaping the future of our engineering initiatives. In this role, you'll have the opportunity to make a significant impact by developing cutting-edge software solutions within our product delivery, systems, and platform teams. Your expertise will be instrumental in enhancing engineering quality, mentoring fellow Software Engineers, and delivering user-centric, reliable, and scalable solutions.Reporting to the Engineering Manager, you’ll have the autonomy to lead the development of Automat, SEEK’s innovative internal developer platform, on Kubernetes. In addition to guiding your own team, you will collaborate with other technical leaders and teams within the Engineering Platform domain to shape the technical roadmap for Automat, specifically focusing on developer experience concerns. You will also play a vital role as a developer advocate within SEEK’s engineering community to help adoption of project Automat.If you're passionate about driving innovation and thrive in a collaborative environment, we invite you to join us in revolutionizing the way we build and deliver software at SEEK Group. Apply now to embark on an exciting journey of growth and impact!This role for Staff Software Engineer could include the following:Build and operate highly scalable and performant software in alignment with SEEK’s technology strategy.Improve platform health, ensuring that our systems are, reliable, resilient, and efficient according to SEEK development practices.Coach and mentor Software Engineers. Lead, coach, and mentor Software Engineers to foster a culture of technical excellence.Ensure platform health for services owned are aligned to SEEK’s technical metrics goals.Improve Agile delivery practices through collaboration with the Engineering Manager and Business Analyst.Act as a developer advocate, building relationships with other engineering teams to ensure the right problems are addressed.You will work with various roles, including Software Engineers at multiple levels such as Staff Engineer, Engineering Manager, Business Analyst / Iteration Manager, and Platform EngineersQualificationsQualificationsHas created and maintained software in two or more modern software development languages.Deep understanding of Kubernetes as an Application Developer. More experience in the Cloud Native space is desired (e.g.: service mesh architecture on Istio, GitOps practice via ArgoCD).Experience with the design, development, support, and maintenance of cloud first applications, preferablyAWS.Strong experience withDesign Patterns.Experience with software observabilities (logging, tracing, monitoring/alerting).Experience applying and improving continuous integration and continuousdeployment (CI/CD) practices.Exceptional problem-solving skills and the ability to influence and lead technical decisions within the team and across the organisation.Strong communication and collaboration skills, with the ability to work effectively in an engineering platform space.Additional InformationPerks and benefitsAt SEEK we offer:Support of flexible working, including a mix of office and work from home days depending on your role.The opportunity to work from anywhere for up to 4 weeks per financial yearCasual dress – every dayAt SEEK, we are passionate about fostering a culture of inclusion and wellbeing that embraces and values the diversity of our people. We are a purpose driven business that works with heart.We know teams with diverse ideas, experiences and perspectives are more creative and are critical to ensuring effective delivery and innovating to enable our future success. As such, we welcome applications from people with diverse backgrounds and life experiences, especially as they relate to gender, sexual identity, culture, faith, disability and life stages. If you have the skills, curiosity and an adaptable mindset but don't meet every responsibility or qualification listed in this advertisement, please still get in touch with us.Should you require any specific support or adjustments throughout the recruitment process and beyond, please advise us and we will be happy to assist.For this role, only those with eligible right to work will be considered.SEEK kindly requests no unsolicited resumes or approaches from recruitment agencies and will not be responsible for any associated fees","Unknown","Solution Architect"
"https://my.jobstreet.com/job/79564303?type=standout&ref=search-standalone#sol=653d690e38c9fcbea70f2b6c33a95032bf90a516","Staff Engineer (Hybrid Working)","SEEK","0","Kuala Lumpur City Centre","Company DescriptionAbout SEEKSEEK’s portfolio of diverse businesses, which includes Jobstreet and JobsDB in Asia, make a positive impact on a truly global scale. Our purpose is to help people live more fulfilling and productive working lives and help organisations succeed. We create world-class technology solutions to connect more people to relevant employment, education, small business and volunteer opportunities. We have a culture of high-performance in our workplaces and celebrate the diversity of our employees who contribute to the success of our organisation.​​Life at SEEKSEEK’s purpose is at the centre of everything we do. Our SEEK, which defines the way we work, is all about what makes us unique and a little bit different. Passion, Team, Delivery and Future are our principles that drive innovation and creativity. SEEK strives to support employee wellbeing by providing an amazing experience at work which led us to being named AFR BOSS Top 10 Best Place to Work 2023 In Tech (third year in a row). In Malaysia, where SEEK’s Asia HQ is located, we received four accolades at the TalentCorp Life at Work Awards 2023, including first runner-up for Best International Organisation and champion for Best CHRO. We are proud to work in an environment that's inclusive where everyone's unique ideas, experiences and perspectives are valued.Job DescriptionWho We're Looking ForAre you a seasoned technical expert with a passion for innovation? We're looking for a dedicated Staff Engineer to join our dynamic full-stack team in Kuala Lumpur. In this role, you’ll be the go-to technical leader, driving the design and execution of our software solutions and providing crucial support to our Engineering Manager. While our team covers the full stack, we’re particularly interested in candidates with strong back-end expertise.What You'll DoLead with Expertise:Steer the team in adopting ground breaking practices, align roadmaps with our goals, and tackle sophisticated technical challenges.Design and Implement:Architect and develop high-quality software solutions that ensure the adaptability and scalability of our platforms.Collaborate Effectively:Partner with collaborators across Architecture, Security, and other technical teams to ensure cohesive and effective solutions.Mentor and Guide:Mentor and support team members, nurturing their growth and encouraging a culture of technical excellence.Stay Hands-On:Engage directly with development tasks while leading technical initiatives and setting high standards.QualificationsWhat We're Looking For:Deep Technical Expertise:Extensive knowledge in software design, architecture, and development. Experience with modern technologies and practices.Problem-Solving Skills:Strong background of solving sophisticated technical problems and delivering effective solutions within budget and time constraints.Communication Proficiency:Ability to clearly convey technical concepts to both technical and non-technical collaborators.System Design Savvy:Expertise in crafting scalable, secure, and maintainable systems.Adaptability:Comfortable navigating ambiguity and providing clear direction in a dynamic environment.Best Practices Advocate:Proficient in implementing and maintaining high standards of code quality and system design.Tech Stack Familiarity:Experience with AWS, TypeScript, Node.js, and React is desirable. You don’t need to be an expert in all of these technologies; we value transferrable skills and a willingness to learn.Additional InformationThe TeamThe Engineering team is the largest team in Jora with more than 30 engineers. The team is split across the four main domains of aggregation, candidate, employer and native apps. Operating in a true start up environment and culture, we love to take a data driven and analytical approach to developing, prioritising and monitoring production features that drive outcomes for our customers.Full-Stack EnvironmentWhile our team covers both front-end and back-end development, we’re particularly interested in candidates with strong back-end expertise. Experience in front-end development is a plus but not required.Why You’ll Love Working HereInnovative Atmosphere:Be at the forefront of technology in a company that embraces creativity and forward-thinking.Collaborative Culture:Join a team that values respect, teamwork, and continuous improvement.Career Growth:Tackle challenging projects and advance your career in a supportive and dynamic environment.Meaningful Impact:Work on initiatives that make a real difference to our customers and the community.Ready to make an impact?Apply today and join us in to help people live more fulfilling and productive working lives and help organisations succeed.Split between offices in Melbourne, Sydney and KL, the team values and embraces working across multiple locations and flexible working arrangements and boasts a large diversity in team members from different cultures and nationalities.At SEEK, we are passionate about fostering a culture of inclusion and wellbeing that embraces and values the diversity of our people. We are a purpose driven business that works with heart.We know teams with diverse ideas, experiences and perspectives are more creative and are critical to ensuring effective delivery and innovating to enable our future success. As such, we welcome applications from people with diverse backgrounds and life experiences, especially as they relate to gender, sexual identity, culture, faith, disability and life stages. If you have the skills, curiosity and an adaptable mindset but don't meet every responsibility or qualification listed in this advertisement, please still get in touch with us.Should you require any specific support or adjustments throughout the recruitment process and beyond, please advise us and we will be happy to assist.SEEK kindly requests no unsolicited resumes or approaches from recruitment agencies and will not be responsible for any associated fees.","Unknown","Solution Architect"
